,conv_rate,nominator,denominator,avg,stdev,mid_date,end_date,params
Qualified,0.29314420803782504,124,423,90,89,2016-01-03,2015-01-08,"(360, 1)"
Buying Process id.,0.3110236220472441,79,254,121,101,2015-11-21,2014-11-26,"(360, 1)"
Short List,0.5043478260869565,58,115,83,79,2016-01-20,2015-01-25,"(360, 1)"
Chosen Vendor,0.6666666666666666,30,45,34,33,2016-04-24,2015-04-30,"(360, 1)"
Negotiation/Review,0.7454545454545455,41,55,50,69,2016-03-03,2015-03-09,"(360, 1)"
PO In Progress,0.8888888888888888,16,18,12,16,2016-06-02,2015-06-08,"(360, 1)"
Qualified,0.3154034229828851,129,409,90,89,2015-10-06,2014-10-11,"(360, 2)"
Buying Process id.,0.32661290322580644,81,248,121,101,2015-08-12,2014-08-17,"(360, 2)"
Short List,0.4803921568627451,49,102,83,79,2015-11-02,2014-11-07,"(360, 2)"
Chosen Vendor,0.7,28,40,34,33,2016-03-22,2015-03-28,"(360, 2)"
Negotiation/Review,0.7777777777777778,35,45,50,69,2015-12-25,2014-12-30,"(360, 2)"
PO In Progress,0.8888888888888888,16,18,12,16,2016-05-17,2015-05-23,"(360, 2)"
Qualified,0.3333333333333333,224,672,90,89,2016-01-03,2014-01-13,"(720, 1)"
Buying Process id.,0.34794520547945207,127,365,121,101,2015-11-21,2013-12-01,"(720, 1)"
Short List,0.46153846153846156,84,182,83,79,2016-01-20,2014-01-30,"(720, 1)"
Chosen Vendor,0.6666666666666666,30,45,34,33,2016-04-24,2014-05-05,"(720, 1)"
Negotiation/Review,0.7741935483870968,72,93,50,69,2016-03-03,2014-03-14,"(720, 1)"
PO In Progress,0.8888888888888888,16,18,12,16,2016-06-02,2014-06-13,"(720, 1)"
Qualified,0.33916083916083917,194,572,90,89,2015-10-06,2013-10-16,"(720, 2)"
Buying Process id.,0.34796238244514105,111,319,121,101,2015-08-12,2013-08-22,"(720, 2)"
Short List,0.4713375796178344,74,157,83,79,2015-11-02,2013-11-12,"(720, 2)"
Chosen Vendor,0.7,28,40,34,33,2016-03-22,2014-04-02,"(720, 2)"
Negotiation/Review,0.8095238095238095,68,84,50,69,2015-12-25,2014-01-04,"(720, 2)"
PO In Progress,0.8888888888888888,16,18,12,16,2016-05-17,2014-05-28,"(720, 2)"
